study_name,process_a,process_b,subgroup,model_type,subject_count,parameter_count,wave_count,ll,aic,bic,process,coefficient,subindex,est,pval,se,wald
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,04,-0.643,0.966,15.263,-0.042
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,05,-22.742,0.368,25.252,-0.901
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,06,-25.57,0.313,25.344,-1.009
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,10,-28.946,0.0,7.621,-3.798
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,11,0.204,0.676,0.488,0.418
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,12,0.717,0.413,0.875,0.819
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,13,0.62,0.049,0.315,1.971
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,14,1.946,0.606,3.775,0.516
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,15,3.15,0.715,8.633,0.365
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,gamma,16,-0.945,0.905,7.942,-0.119
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,a,sigma,00,1650.988,0.0,113.817,14.506
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,aa,tau,00,4732.247,0.0,1131.196,4.183
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,aa,tau,01,-351.798,0.053,181.859,-1.934
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,aa,tau,11,58.234,0.185,43.967,1.324
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,ab,sigma,00,29.782,0.431,37.796,0.788
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,ab,tau,00,67.249,0.777,237.187,0.284
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,ab,tau,01,34.961,0.658,79.02,0.442
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,ab,tau,10,12.408,0.84,61.324,0.202
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,ab,tau,11,-10.977,0.373,12.316,-0.891
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,b,gamma,00,110.615,0.0,8.319,13.297
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,b,gamma,01,-1.563,0.001,0.481,-3.252
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,b,gamma,02,0.314,0.709,0.84,0.373
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,b,gamma,03,0.041,0.901,0.33,0.125
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,b,gamma,04,2.986,0.502,4.444,0.672
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,b,gamma,05,-5.175,0.45,6.845,-0.756
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,b,gamma,06,-18.824,0.003,6.257,-3.009
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,b,gamma,10,-3.648,0.125,2.378,-1.534
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,b,gamma,11,-0.04,0.745,0.123,-0.325
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,b,gamma,12,0.12,0.679,0.291,0.414
eas,pef,gait,female,aehplus,150,41,7,-3904.164,7890.329,8013.765,b,gamma,13,0.068,0.41,0.082,0.824
